Kurtosis;Impulse factor;RMS;Margin factor;Skewness;Shape factor;Peak to peak;Crest factor;Label
9.075605485;15.94791582;3.304337625;0.006667497;0.081758049;723.8634937;0.133753943;0.022031662;3
11.38339263;19.42617643;2.675150492;0.00995927;0.175987815;729.1411527;0.135558505;0.026642546;3
2.503209416;9.031885389;2.422287196;0.005649169;0.017529512;660.036934;0.061210795;0.013683909;1
3.752466802;13.59870464;2.178538874;0.009366198;-0.051350544;666.4520351;0.08288718;0.020404626;1
2.856773401;12.24328356;2.022799027;0.00919056;0.090897303;658.5718738;0.065419059;0.018590657;1
2.560323701;9.495508451;1.980864768;0.007276129;0.011849695;658.8142627;0.053581467;0.014413028;1
3.067491894;11.40716249;1.755771;0.00985834;0.04373101;659.0311814;0.057208002;0.017308988;1
3.076239864;12.74623807;1.621130569;0.011892402;-0.019421963;661.1415544;0.05336087;0.019279136;1
2.565465847;9.353337135;1.47866095;0.009665486;0.07511307;654.4466861;0.040698953;0.014291977;1
2.705886017;9.232641733;1.25965086;0.011187048;-0.106307307;655.1794764;0.035071428;0.014091775;1
2.470489057;9.23744777;1.078657073;0.013105653;-0.067582476;653.4463397;0.028612524;0.014136505;1
2.421403274;8.13866248;0.944085951;0.013200148;-0.067477834;653.0744395;0.023012835;0.012462075;1
2.648120208;11.39543352;1.482302809;0.011946255;0.674748266;643.5201393;0.043519542;0.017707967;2
3.074248307;11.42041406;1.645795126;0.01067696;0.598166953;649.9178485;0.046783616;0.017572089;2
5.306121255;14.90053726;1.821492229;0.012314943;0.801795494;664.2662796;0.059610522;0.022431573;2
7.4438232;16.34533169;1.970316553;0.012104882;0.858669498;685.3259605;0.075146999;0.023850449;2
8.781126661;16.01965638;2.093903713;0.011023403;0.892277832;694.0341215;0.08215102;0.023081944;2
10.05836014;17.77679447;2.157096991;0.011828187;0.97077813;696.7317225;0.088667013;0.025514547;2
8.252393813;16.49498665;2.1451337;0.011240002;0.748878775;684.1182955;0.087938235;0.024111308;2
8.577436961;15.37179561;2.28529609;0.009663288;0.568858557;696.0768386;0.097329891;0.022083475;2
10.11866709;17.0023615;2.332780434;0.010510984;0.600825063;693.4130554;0.097553916;0.024519817;2
10.8566126;17.92441614;2.333523827;0.010932693;0.796558604;702.5959514;0.104295534;0.025511699;2
4.072801617;12.23926027;1.454149541;0.012587147;0.198717154;668.6807362;0.050094264;0.018303593;2
6.692802747;15.99001363;1.814035414;0.012757222;0.170119629;690.9505402;0.07452019;0.023142052;2
7.569240462;17.11866463;1.838127802;0.013499624;0.499506348;689.878359;0.075323354;0.024814033;2
17.02446897;22.30790459;1.998120384;0.015376631;0.582649875;726.0657274;0.108674689;0.03072436;2
9.152591661;17.41565157;2.232169309;0.011100266;0.198028745;702.8768133;0.100549152;0.024777673;2
14.22275591;21.90024019;2.372159497;0.012866617;0.467325987;717.5309091;0.127018568;0.030521668;2
10.11760784;19.53363085;2.301683848;0.012178346;0.240097742;696.8655389;0.125579591;0.028030703;2
11.27932971;19.47492676;2.224295542;0.012415659;0.169713288;705.2020533;0.112788118;0.027616095;2
8.593522759;17.21121464;1.948298461;0.012788775;0.2110728;690.7598621;0.092095672;0.02491635;2
12.6055448;19.02389188;1.99434734;0.013208116;0.584902558;722.2003748;0.101297341;0.02634157;2
8.695869601;17.79714016;2.53351064;0.010106865;0.206440913;695.0419556;0.1285296;0.02560585;2
9.033939481;16.46551247;2.388598742;0.010004303;0.336656353;689.0412162;0.107781137;0.023896266;2
11.04622703;22.82578372;2.233205515;0.014626491;0.408068876;698.8063528;0.116848107;0.032663961;2
8.020213736;17.75864039;2.104682545;0.012231462;0.624339051;689.8342363;0.089489472;0.025743344;2
7.975959388;15.14885377;1.993160687;0.010829125;0.405112049;701.8496279;0.081287049;0.021584187;2
5.839475609;17.18019243;1.77188143;0.014333938;0.635359847;676.4377871;0.081845569;0.025398038;2
3.267084628;10.05544788;1.690368598;0.008925808;0.463466846;666.4575011;0.045293366;0.015087906;2
5.156013703;12.65961863;1.477315323;0.012708278;0.148055375;674.3117435;0.051799727;0.018774133;2
3.37240964;10.79078497;1.183181817;0.013939949;0.422298077;654.2449313;0.03473004;0.016493494;2
3.043658794;9.169154792;1.165419012;0.011889387;0.408540648;661.7405673;0.03158287;0.013856117;2
4.016760525;11.98678568;1.566295396;0.011557565;0.775837757;662.1596824;0.04653825;0.01810256;2
4.675820566;11.92369849;1.738523731;0.010412224;0.635431504;658.6987598;0.051137923;0.018101899;2
5.352710131;13.29633416;1.964954561;0.009972963;0.631908324;678.5083864;0.074303461;0.019596418;2
9.984692476;16.6143201;1.989309067;0.012083372;0.751251088;691.181612;0.085884578;0.024037561;2
6.080390943;13.30961982;2.116415311;0.009325155;0.632762084;674.3862003;0.076190527;0.019735902;2
8.581930251;15.33149702;2.320446218;0.009530631;0.608695244;693.2523982;0.099379937;0.022115318;2
13.14744106;23.13988222;2.428467395;0.013581054;1.093911248;701.6094042;0.123603576;0.032981146;2
7.37007108;15.02111218;2.450340008;0.008918375;0.714238982;687.3691419;0.092418482;0.02185305;2
9.380730905;17.88908106;2.600346609;0.009907271;0.628297058;694.3888816;0.113824422;0.025762338;2
11.26510465;19.84370158;2.718616337;0.010464555;0.456653458;697.5157066;0.136056288;0.028449111;2
-1.459052698;2.367569219;69.40798105;6.52398E-05;0.028495112;522.8546332;0.300371922;0.00452816;3
-1.436696178;2.616867948;66.78060348;7.48727E-05;0.044295141;523.3692894;0.324421933;0.005000041;3
-1.398838391;2.549531409;64.2431867;7.57512E-05;0.067039323;523.8946688;0.302031361;0.004866496;3
-1.354528443;2.938726844;61.83984031;9.05744E-05;0.094823864;524.6691863;0.337903297;0.005601104;3
-1.286925447;3.183756295;59.57255318;0.000101613;0.134136627;525.9520028;0.356764771;0.006053321;3
-1.185746133;3.077311197;57.44737562;0.000101504;0.19574411;527.7360865;0.330735527;0.005831156;3
-1.127852707;3.746841539;55.29236376;0.000128178;0.220270052;528.6733425;0.388922667;0.007087253;3
-1.02652644;3.382266431;53.37044115;0.000119301;0.285226499;531.2080016;0.356381894;0.006367123;3
-0.881182495;4.369482236;51.56196793;0.000158633;0.353823399;534.2036857;0.495485017;0.008179431;3
-0.646506248;4.786891971;49.89321439;0.00017824;0.453290477;538.2774269;0.596192962;0.008892983;3
2.953419669;9.967925823;2.782489555;0.005442719;-0.025395786;658.1961548;0.080805456;0.015144309;0
2.685222784;8.383341192;2.710886293;0.004719487;-0.03088514;655.256029;0.068336259;0.012793993;0
2.867602601;10.28385646;2.550188515;0.006105603;0.050429842;660.4730906;0.068256168;0.01557044;0
2.481637873;8.103524427;2.446226497;0.005027334;0.026428619;658.9304421;0.059493348;0.012297997;0
2.859227419;11.09360863;2.257953362;0.007462716;0.042949243;658.3562421;0.068250016;0.016850465;0
2.4785225;8.928267009;2.002150599;0.006835882;-0.079442089;652.3427549;0.051424876;0.013686466;0
2.704188764;8.755773956;2.300601723;0.005768548;-0.08520095;659.7608879;0.059370821;0.013271132;0
2.632267473;8.334139896;2.531205008;0.004997149;-0.012767332;658.8873529;0.064015674;0.012648808;0
2.664358525;7.929147925;2.647278997;0.004552049;-0.047779408;657.9908709;0.063167831;0.012050544;0
2.892121915;9.131589533;2.764746353;0.004987651;-0.017866184;662.2089227;0.075680313;0.01378959;0
2.86869849;8.956852254;1.195622786;0.011353583;0.134322575;659.8242588;0.030960913;0.013574603;1
2.948979141;8.880032388;1.448103355;0.009257888;0.270655382;662.373701;0.038477609;0.013406378;1
2.836467179;10.56603046;1.514744498;0.01055048;0.237028435;661.1504038;0.042407086;0.015981281;1
2.924119859;10.44220685;1.609390919;0.009824193;0.187409309;660.4407206;0.045620843;0.015810968;1
2.707362675;8.260010788;1.543294712;0.008143384;0.21639982;657.2442984;0.037079273;0.012567642;1
